Datum;Uhrzeit;Physikalischer Nettoexport[MWh];Nettoexport Niederlande [MWh];Nettoexport Schweiz [MWh];Nettoexport Dänemark [MWh];Nettoexport Tschechien [MWh];Nettoexport Luxemburg [MWh];Nettoexport Schweden [MWh];Nettoexport Österreich [MWh];Nettoexport Frankreich [MWh];Nettoexport Polen [MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
01.01.15;00:00;0;2205;0;0;1706;0;0;2731;167;0;2.205;0;0;0;0;0;1.034;672;0;0;0;0;2.731;0;0;167;0;0
01.01.15;01:00;0;2077;0;0;1664;0;0;2941;145;0;2.077;0;0;0;0;0;890;774;0;0;0;0;2.941;0;0;145;0;0
01.01.15;02:00;0;1918;0;0;1656;0;0;3054;17;0;1.918;0;0;0;0;0;896;760;0;0;0;0;3.054;0;0;17;0;0
01.01.15;03:00;0;1733;0;0;1560;0;0;3181;63;0;1.733;0;0;0;0;0;866;694;0;0;0;0;3.181;0;0;63;0;0
01.01.15;04:00;0;1732;0;0;1627;0;0;3262;117;0;1.732;0;0;0;0;0;1.036;591;0;0;0;0;3.262;0;0;117;0;0
01.01.15;05:00;0;1619;0;0;1648;0;0;3293;263;0;1.619;0;0;0;0;0;1.034;614;0;0;0;0;3.293;0;0;263;0;0
01.01.15;06:00;0;1749;0;0;1560;0;0;2985;104;0;1.749;0;0;0;0;0;934;626;0;0;0;0;2.985;0;0;104;0;0
01.01.15;07:00;0;1734;0;0;1501;0;0;2914;3;0;1.734;0;0;0;0;0;844;657;0;0;0;0;2.914;0;3;0;0;0
01.01.15;08:00;0;1913;0;0;1648;0;0;2901;310;0;1.913;0;0;0;0;0;1.004;644;0;0;0;0;2.901;0;0;310;0;0
01.01.15;09:00;0;1909;0;0;1670;0;0;2690;419;0;1.909;0;0;0;0;0;981;689;0;0;0;0;2.690;0;0;419;0;0
01.01.15;10:00;0;2103;0;0;1813;0;0;2762;417;0;2.103;0;0;0;0;0;1.148;665;0;0;0;0;2.762;0;0;417;0;0
01.01.15;11:00;0;2269;0;0;1786;0;0;2662;199;0;2.269;0;0;0;0;0;1.134;652;0;0;0;0;2.662;0;0;199;0;0
01.01.15;12:00;0;2353;0;0;1907;0;0;2597;173;0;2.353;0;0;0;0;0;1.248;659;0;0;0;0;2.597;0;0;173;0;0
01.01.15;13:00;0;2305;0;0;1948;0;0;2745;364;0;2.305;0;0;0;0;0;1.314;634;0;0;0;0;2.745;0;0;364;0;0
01.01.15;14:00;0;2312;0;0;1948;0;0;2876;618;0;2.312;0;0;0;0;0;1.370;578;0;0;0;0;2.876;0;0;618;0;0
01.01.15;15:00;0;2058;0;0;1999;0;0;3120;726;0;2.058;0;0;0;0;0;1.460;539;0;0;0;0;3.120;0;0;726;0;0
01.01.15;16:00;0;2257;0;0;1994;0;0;2478;774;0;2.257;0;0;0;0;0;1.437;557;0;0;0;0;2.478;0;0;774;0;0
01.01.15;17:00;0;2210;0;0;1908;0;0;2190;1016;0;2.210;0;0;0;0;0;1.279;629;0;0;0;0;2.190;0;0;1.016;0;0
01.01.15;18:00;0;1871;0;0;1773;0;0;1855;969;0;1.871;0;0;0;0;0;1.115;658;0;0;0;0;1.855;0;0;969;0;0
01.01.15;19:00;0;1670;0;0;1834;0;0;2504;897;0;1.670;0;0;0;0;0;1.162;672;0;0;0;0;2.504;0;0;897;0;0
01.01.15;20:00;0;1387;0;0;2289;0;0;3027;1044;0;1.387;0;0;0;0;0;1.677;612;0;0;0;0;3.027;0;0;1.044;0;0
01.01.15;21:00;0;1045;0;0;2242;0;0;3419;1378;0;1.045;0;0;0;0;0;1.629;613;0;0;0;0;3.419;0;0;1.378;0;0
01.01.15;22:00;0;1154;0;0;2260;0;0;3364;1235;0;1.154;0;0;0;0;0;1.630;630;0;0;0;0;3.364;0;0;1.235;0;0
01.01.15;23:00;0;1222;0;0;2382;0;0;3496;1026;0;1.222;0;0;0;0;0;1.731;651;0;0;0;0;3.496;0;0;1.026;0;0
02.01.15;00:00;0;1118;0;0;2067;0;0;3218;1229;0;1.118;0;0;0;0;0;1.261;806;0;0;0;0;3.218;0;0;1.229;0;0
02.01.15;01:00;0;1191;0;0;2179;0;0;3136;1188;0;1.191;0;0;0;0;0;1.380;799;0;0;0;0;3.136;0;0;1.188;0;0
02.01.15;02:00;0;1051;0;0;2075;0;0;3246;1330;0;1.051;0;0;0;0;0;1.429;646;0;0;0;0;3.246;0;0;1.330;0;0
02.01.15;03:00;0;1128;0;0;2063;0;0;3195;1577;0;1.128;0;0;0;0;0;1.430;633;0;0;0;0;3.195;0;0;1.577;0;0
02.01.15;04:00;0;1414;0;0;2003;0;0;3181;1812;0;1.414;0;0;0;0;0;1.324;679;0;0;0;0;3.181;0;0;1.812;0;0
02.01.15;05:00;0;1460;0;0;2175;0;0;3252;1849;0;1.460;0;0;0;0;0;1.465;710;0;0;0;0;3.252;0;0;1.849;0;0
02.01.15;06:00;0;1269;0;0;2173;0;0;3327;1818;0;1.269;0;0;0;0;0;1.510;663;0;0;0;0;3.327;0;0;1.818;0;0
02.01.15;07:00;0;1277;0;0;2013;0;0;3274;1408;0;1.277;0;0;0;0;0;1.340;673;0;0;0;0;3.274;0;0;1.408;0;0
02.01.15;08:00;0;1991;0;0;1910;0;0;3131;1667;0;1.991;0;0;0;0;0;1.302;608;0;0;0;0;3.131;0;0;1.667;0;0
02.01.15;09:00;0;2456;0;0;2037;0;0;3138;1662;0;2.456;0;0;0;0;0;1.439;598;0;0;0;0;3.138;0;0;1.662;0;0
02.01.15;10:00;0;2548;0;0;2151;0;0;3057;1502;0;2.548;0;0;0;0;0;1.549;602;0;0;0;0;3.057;0;0;1.502;0;0
02.01.15;11:00;0;2596;0;0;2198;0;0;2940;1524;0;2.596;0;0;0;0;0;1.582;616;0;0;0;0;2.940;0;0;1.524;0;0
02.01.15;12:00;0;2470;0;0;2287;0;0;2907;1425;0;2.470;0;0;0;0;0;1.673;614;0;0;0;0;2.907;0;0;1.425;0;0
02.01.15;13:00;0;2230;0;0;2351;0;0;2905;1378;0;2.230;0;0;0;0;0;1.725;626;0;0;0;0;2.905;0;0;1.378;0;0
02.01.15;14:00;0;2196;0;0;2353;0;0;2937;1382;0;2.196;0;0;0;0;0;1.726;627;0;0;0;0;2.937;0;0;1.382;0;0
02.01.15;15:00;0;2546;0;0;2274;0;0;2805;1409;0;2.546;0;0;0;0;0;1.686;588;0;0;0;0;2.805;0;0;1.409;0;0
02.01.15;16:00;0;2513;0;0;2384;0;0;2516;1641;0;2.513;0;0;0;0;0;1.812;572;0;0;0;0;2.516;0;0;1.641;0;0
02.01.15;17:00;0;2347;0;0;2153;0;0;2080;1569;0;2.347;0;0;0;0;0;1.562;591;0;0;0;0;2.080;0;0;1.569;0;0
02.01.15;18:00;0;2110;0;0;2021;0;0;2112;1299;0;2.110;0;0;0;0;0;1.353;668;0;0;0;0;2.112;0;0;1.299;0;0
02.01.15;19:00;0;1770;0;0;1925;0;0;2410;1188;0;1.770;0;0;0;0;0;1.267;658;0;0;0;0;2.410;0;0;1.188;0;0
02.01.15;20:00;0;1163;0;0;2050;0;0;2911;1568;0;1.163;0;0;0;0;0;1.360;690;0;0;0;0;2.911;0;0;1.568;0;0
02.01.15;21:00;0;1188;0;0;1957;0;0;2763;1827;0;1.188;0;0;0;0;0;1.227;730;0;0;0;0;2.763;0;0;1.827;0;0
02.01.15;22:00;0;1273;0;0;1979;0;0;2805;1754;0;1.273;0;0;0;0;0;1.190;789;0;0;0;0;2.805;0;0;1.754;0;0
02.01.15;23:00;0;1385;0;0;1964;0;0;2915;1581;0;1.385;0;0;0;0;0;1.138;826;0;0;0;0;2.915;0;0;1.581;0;0
03.01.15;00:00;0;1444;0;0;1919;0;0;2939;1287;0;1.444;0;0;0;0;0;1.142;777;0;0;0;0;2.939;0;0;1.287;0;0
03.01.15;01:00;0;1344;0;0;2147;0;0;3206;1283;0;1.344;0;0;0;0;0;1.466;681;0;0;0;0;3.206;0;0;1.283;0;0
03.01.15;02:00;0;1041;0;0;1988;0;0;3335;1304;0;1.041;0;0;0;0;0;1.360;628;0;0;0;0;3.335;0;0;1.304;0;0
03.01.15;03:00;0;1007;0;0;1738;0;0;3250;1219;0;1.007;0;0;0;0;0;1.171;567;0;0;0;0;3.250;0;0;1.219;0;0
03.01.15;04:00;0;1089;0;0;1663;0;0;3193;1414;0;1.089;0;0;0;0;0;1.114;549;0;0;0;0;3.193;0;0;1.414;0;0
03.01.15;05:00;0;1291;0;0;1522;0;0;3257;1451;0;1.291;0;0;0;0;0;949;573;0;0;0;0;3.257;0;0;1.451;0;0
03.01.15;06:00;0;1226;0;0;1664;0;0;3295;1391;0;1.226;0;0;0;0;0;1.029;635;0;0;0;0;3.295;0;0;1.391;0;0
03.01.15;07:00;0;1083;0;0;1831;0;0;3038;1342;0;1.083;0;0;0;0;0;1.100;731;0;0;0;0;3.038;0;0;1.342;0;0
03.01.15;08:00;0;1451;0;0;1774;0;0;2968;1590;0;1.451;0;0;0;0;0;1.004;770;0;0;0;0;2.968;0;0;1.590;0;0
03.01.15;09:00;0;1725;0;0;1852;0;0;3072;1817;0;1.725;0;0;0;0;0;1.148;704;0;0;0;0;3.072;0;0;1.817;0;0
03.01.15;10:00;0;2257;0;0;1962;0;0;2914;1780;0;2.257;0;0;0;0;0;1.281;681;0;0;0;0;2.914;0;0;1.780;0;0
03.01.15;11:00;0;2616;0;0;1912;0;0;2112;1915;0;2.616;0;0;0;0;0;1.266;646;0;0;0;0;2.112;0;0;1.915;0;0
03.01.15;12:00;0;2709;0;0;2058;0;0;2117;1909;0;2.709;0;0;0;0;0;1.471;587;0;0;0;0;2.117;0;0;1.909;0;0
03.01.15;13:00;0;2623;0;0;2062;0;0;2223;2150;0;2.623;0;0;0;0;0;1.459;603;0;0;0;0;2.223;0;0;2.150;0;0
03.01.15;14:00;0;2499;0;0;1871;0;0;2090;2253;0;2.499;0;0;0;0;0;1.272;599;0;0;0;0;2.090;0;0;2.253;0;0
03.01.15;15:00;0;2515;0;0;1856;0;0;2134;2528;0;2.515;0;0;0;0;0;1.276;580;0;0;0;0;2.134;0;0;2.528;0;0
03.01.15;16:00;0;2531;0;0;1919;0;0;1807;2702;0;2.531;0;0;0;0;0;1.277;642;0;0;0;0;1.807;0;0;2.702;0;0
03.01.15;17:00;0;2361;0;0;1682;0;0;1285;3087;0;2.361;0;0;0;0;0;939;743;0;0;0;0;1.285;0;0;3.087;0;0
03.01.15;18:00;0;2198;0;0;1650;0;0;1195;2898;0;2.198;0;0;0;0;0;883;767;0;0;0;0;1.195;0;0;2.898;0;0
03.01.15;19:00;0;2011;0;0;1594;0;0;1549;2353;0;2.011;0;0;0;0;0;827;767;0;0;0;0;1.549;0;0;2.353;0;0
03.01.15;20:00;0;2078;0;0;1777;0;0;2043;2252;0;2.078;0;0;0;0;0;1.152;625;0;0;0;0;2.043;0;0;2.252;0;0
03.01.15;21:00;0;1990;0;0;1845;0;0;2353;2461;0;1.990;0;0;0;0;0;1.226;619;0;0;0;0;2.353;0;0;2.461;0;0
03.01.15;22:00;0;2033;0;0;1956;0;0;2169;2244;0;2.033;0;0;0;0;0;1.311;645;0;0;0;0;2.169;0;0;2.244;0;0
03.01.15;23:00;0;2051;0;0;1992;0;0;2513;1756;0;2.051;0;0;0;0;0;1.302;690;0;0;0;0;2.513;0;0;1.756;0;0
04.01.15;00:00;0;1844;0;0;1515;0;0;2642;1413;1386;1.844;0;0;0;0;0;873;642;0;0;0;0;2.642;0;0;1.413;1.386;0
04.01.15;01:00;0;2085;0;0;1426;0;0;2603;1150;1366;2.085;0;0;0;0;0;786;640;0;0;0;0;2.603;0;0;1.150;1.366;0
04.01.15;02:00;0;2220;0;0;1346;0;0;2480;1249;1284;2.220;0;0;0;0;0;709;637;0;0;0;0;2.480;0;0;1.249;1.284;0
04.01.15;03:00;0;2627;0;0;1091;0;0;2354;1097;1213;2.627;0;0;0;0;0;508;583;0;0;0;0;2.354;0;0;1.097;1.213;0
04.01.15;04:00;0;2584;0;0;1116;0;0;2472;1082;1240;2.584;0;0;0;0;0;541;575;0;0;0;0;2.472;0;0;1.082;1.240;0
