Date;Time of day;Physikalischer Nettoexport[MWh];Nettoexport Niederlande [MWh];Nettoexport Schweiz [MWh];Nettoexport Dänemark [MWh];Nettoexport Tschechien [MWh];Nettoexport Luxemburg [MWh];Nettoexport Schweden [MWh];Nettoexport Österreich [MWh];Nettoexport Frankreich [MWh];Nettoexport Polen [MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
01.01.17;00:00;0;2331;2331;1221;2089;0;1;1434;2238;770;2.331;0;2.387;0;636;585;588;1.501;0;0;1;0;1.434;0;2.238;0;709;61
01.01.17;01:00;0;2347;2347;1250;2138;0;1;1698;2144;772;2.347;0;2.506;0;665;585;670;1.468;0;0;1;0;1.698;0;2.144;0;707;65
01.01.17;02:00;0;2001;2001;1279;2210;0;1;1968;1988;785;2.001;0;2.937;0;694;585;722;1.488;0;0;1;0;1.968;0;1.988;0;715;70
01.01.17;03:00;0;1763;1763;1271;2227;0;1;2520;1358;972;1.763;0;3.214;0;686;585;853;1.374;0;0;1;0;2.520;0;1.358;0;899;73
01.01.17;04:00;0;1679;1679;1347;2133;0;1;2449;1127;925;1.679;0;3.417;0;772;575;760;1.373;0;0;1;0;2.449;0;1.127;0;844;81
01.01.17;05:00;0;1840;1840;1014;2100;0;73;2464;1087;931;1.840;0;3.309;0;770;244;748;1.352;0;0;73;0;2.464;0;1.087;0;842;89
01.01.17;06:00;0;2137;2137;751;2141;0;75;2565;1076;786;2.137;0;3.112;0;747;4;849;1.292;0;0;75;0;2.565;0;1.076;0;786;0
01.01.17;07:00;0;2191;2191;1249;2091;0;75;2734;994;968;2.191;0;3.204;0;1.249;0;831;1.260;0;0;75;0;2.734;0;994;0;897;71
01.01.17;08:00;0;2165;2165;1379;2064;0;75;2643;941;669;2.165;0;3.540;0;1.374;5;737;1.327;0;0;75;0;2.643;0;941;0;669;0
01.01.17;09:00;0;1700;1700;1692;2116;0;2;2883;1214;991;1.700;0;3.688;0;1.298;394;870;1.246;0;0;2;0;2.883;0;1.214;0;906;85
