Datum;Uhrzeit;Physikalischer Nettoexport[MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
01.06.2019;00:00;-5.126;119;-19;0;-1.110;0;-1.508;0;-994;446;-0;0;-446;139;-749;0;-1.821;817;-0
01.06.2019;01:00;-4.385;514;-102;0;-756;0;-1.211;0;-1.176;424;-0;0;-446;180;-750;0;-1.631;569;-0
01.06.2019;02:00;-3.531;823;-15;0;-506;14;-944;0;-1.183;415;-0;0;-446;410;-632;0;-1.999;532;-0
01.06.2019;03:00;-3.054;1.325;-0;0;-488;60;-688;0;-1.267;409;-0;0;-446;468;-656;0;-2.276;505;-0
01.06.2019;04:00;-3.972;1.340;-0;13;-370;39;-823;0;-1.575;408;-0;0;-446;492;-859;0;-2.432;254;-13
01.06.2019;05:00;-3.618;1.185;-78;289;-193;0;-1.104;0;-1.388;404;-0;0;-446;634;-779;0;-2.545;403;-0
01.06.2019;06:00;-2.375;1.314;-90;345;-141;0;-1.264;0;-1.083;389;-0;0;-446;763;-475;0;-2.453;766;-0
01.06.2019;07:00;-1.102;1.081;-346;259;-74;2;-1.087;2;-623;398;-0;0;-446;1.019;-245;0;-2.229;1.187;-0
01.06.2019;08:00;757;1.001;-157;126;-108;92;-610;18;-418;421;-0;0;-57;958;-112;0;-1.755;1.358;-0
01.06.2019;09:00;3.584;1.024;-52;371;-0;283;-148;158;-214;439;-0;2;-0;1.375;-60;99;-1.147;1.454;-0
01.06.2019;10:00;4.831;1.231;-194;1.003;-0;169;-389;362;-175;451;-0;2;-0;1.836;-82;125;-928;1.420;-0
01.06.2019;11:00;6.190;1.268;-30;1.373;-0;144;-295;291;-162;452;-0;2;-0;2.063;-0;414;-624;1.294;-0
01.06.2019;12:00;6.860;1.395;-1;1.387;-0;83;-588;564;-151;445;-0;2;-0;1.987;-74;681;-237;1.367;-0
01.06.2019;13:00;5.657;1.390;-0;918;-0;39;-744;553;-95;426;-0;2;-0;1.964;-215;424;-370;1.365;-0
01.06.2019;14:00;4.522;1.243;-0;960;-0;14;-927;536;-123;420;-0;0;-187;1.919;-347;343;-657;1.328;-0
01.06.2019;15:00;4.094;1.321;-0;818;-0;5;-968;417;-115;431;-0;0;-126;1.723;-19;230;-829;1.206;-0
01.06.2019;16:00;3.213;1.266;-0;920;-0;0;-1.275;494;-185;434;-0;0;-280;1.585;-11;76;-1.167;1.356;-0
01.06.2019;17:00;-92;855;-0;278;-0;0;-1.266;153;-344;446;-0;0;-339;1.055;-115;0;-2.009;1.194;-0
01.06.2019;18:00;-3.391;520;-189;0;-572;0;-1.425;12;-705;472;-0;0;-441;520;-294;0;-2.454;1.165;-0
01.06.2019;19:00;-6.652;290;-620;0;-1.273;0;-1.709;0;-1.273;471;-0;0;-446;298;-571;0;-2.705;886;-0
01.06.2019;20:00;-7.123;429;-684;0;-1.570;0;-1.922;0;-1.206;455;-0;0;-446;435;-686;0;-2.856;928;-0
